loss,acc,val_loss,val_acc
3.089608,0.237113,3.002646,0.181818
2.908315,0.371134,2.893665,0.272727
2.806274,0.432990,2.817583,0.363636
2.726344,0.443299,2.727477,0.363636
2.648034,0.453608,2.688439,0.272727
2.584524,0.453608,2.625121,0.363636
2.523647,0.432990,2.555190,0.363636
2.460186,0.463918,2.512821,0.272727
2.401547,0.422680,2.450637,0.363636
2.343218,0.463918,2.397394,0.272727
2.290094,0.474227,2.335184,0.454545
2.233530,0.505155,2.304085,0.454545
2.188823,0.484536,2.276466,0.363636
2.138290,0.525773,2.227560,0.454545
2.087609,0.525773,2.161723,0.454545
2.041987,0.546392,2.116268,0.454545
2.003204,0.525773,2.042231,0.454545
1.956094,0.525773,1.998076,0.454545
1.912211,0.587629,1.954909,0.454545
1.872474,0.556701,1.883281,0.636364
1.834673,0.567010,1.840766,0.636364
1.802650,0.546392,1.814609,0.545455
1.769993,0.556701,1.774022,0.545455
1.734916,0.556701,1.751905,0.636364
1.703604,0.546392,1.729378,0.636364
1.670891,0.577320,1.713454,0.454545
1.638438,0.618557,1.677755,0.636364
1.613284,0.577320,1.663048,0.636364
1.589422,0.567010,1.633618,0.454545
1.557680,0.639175,1.599092,0.636364
1.536958,0.597938,1.593315,0.545455
1.506887,0.597938,1.578809,0.545455
1.484421,0.587629,1.558990,0.545455
1.460320,0.597938,1.548709,0.636364
1.441010,0.597938,1.577058,0.545455
1.429581,0.577320,1.552295,0.545455
1.407179,0.577320,1.558018,0.454545
1.387399,0.597938,1.580774,0.454545
1.371667,0.628866,1.623123,0.454545
1.371376,0.577320,1.581551,0.454545
1.352540,0.608247,1.597685,0.454545
1.334727,0.608247,1.557592,0.363636
1.317386,0.618557,1.546325,0.454545
1.303547,0.628866,1.524686,0.454545
1.294451,0.649485,1.528964,0.454545
1.282739,0.639175,1.532938,0.454545
1.269874,0.628866,1.542273,0.545455
1.256547,0.639175,1.581990,0.363636
1.251649,0.628866,1.509710,0.545455
1.242375,0.649485,1.503070,0.545455
